category,rating,discounted,title,price,image_urls,product_url,sku,img_url
Daily Needs,0 / 5,-17%,CASIO FX-100MS SCIENTIFIC CALCULATOR (Orginal),1490,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_fx-100ms_scientific_calculator_orginal_2.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/casio-fx-100ms-scientific-calculator-orginal.html,CASPRS100MSGAD,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_fx-100ms_scientific_calculator_orginal_2.jpg
Daily Needs,0 / 5,-29%,Casio Calculator MJ 120Da (Orginal),890,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_calculator_mj_120da.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/casio-calculator-mj-120da-orginal.html,CASPRS120DAGAD,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_calculator_mj_120da.jpg
Daily Needs,0 / 5,-23%,Bino Zoo Paperback,460,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/b/i/bino-zoo-animated-book-2.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/bino-zoo-paperback.html,WASBZPMIC,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/b/i/bino-zoo-animated-book-2.jpg
Entertainment,0 / 5,,Xiaomi Ninebot Mini,38990,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-ninebot-mini-1_1.jpg,https://www.pickaboo.com/lifestyle-entertainment/auto-vehicle/xiaomi-ninebot-mini.html,WASNBMMOV,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-ninebot-mini-1_1.jpg
Entertainment,0 / 5,,Seventy One Race 24 Inch Kids Bike,7000,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/e/seventy-one-race-24-pink.jpg,https://www.pickaboo.com/lifestyle-entertainment/auto-vehicle/seventy-one-race-24-inch-road-bike.html,WASR24BCB,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/e/seventy-one-race-24-pink.jpg
Entertainment,0 / 5,,Veloce Outrage 604 (2017) Mountain Bike,24000,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/v/e/veloce-outrage-604-2017.jpg,https://www.pickaboo.com/lifestyle-entertainment/auto-vehicle/veloce-outrage-604-2017-road-bike.html,WAS604BCB,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/v/e/veloce-outrage-604-2017.jpg
Daily Needs,0 / 5,,Aplombtech Smart Tank,620,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/a/p/aplombtech-smarttank.jpg,https://www.pickaboo.com/daily-need/home-living/aplombtech-smart-tank.html,WASASTAPL,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/a/p/aplombtech-smarttank.jpg
Daily Needs,0 / 5,-12%,Casio ClassWiz fx-991EX Scientific Calculator (Orginal),2190,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_classwiz_fx-991ex_scientific_calculator_orginal_3.jpg,https://www.pickaboo.com/daily-need/office-stationery-supplies/casio-classwiz-fx-991ex-scientific-calculator-orginal.html,CASPRS991EXGAD,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/a/casio_classwiz_fx-991ex_scientific_calculator_orginal_3.jpg
Daily Needs,0 / 5,-25%,Havit (HV-SC01) Multi Socket - Grey,490,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/0/6/06._sc01_multi_plug_.jpg,https://www.pickaboo.com/daily-need/switch-socket/havit-hv-sc01-multi-socket.html,NUSSC01CCT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/0/6/06._sc01_multi_plug_.jpg
Daily Needs,0 / 5,-2%,JOHSUN 20Kva Single Phase Voltage Stabilizer,41839,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/2/0/20kva-single-voltage-stabilizer.jpg,https://www.pickaboo.com/daily-need/home-living/johsun-20kva-single-phase-voltage-stabilizer.html,WAS20KPEL,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/2/0/20kva-single-voltage-stabilizer.jpg
